,element,obs_wavelength,obs_ep,obs_ew
288,FeI,5636.7,3.64,0.0
289,FeI,5638.26,4.22,0.0
290,FeI,5641.43,4.26,0.0
291,FeI,5649.99,5.1,0.0
292,FeI,5651.47,4.47,0.0
293,FeI,5652.32,4.26,0.0
294,FeI,5653.87,4.39,0.0
295,FeI,5655.18,5.06,0.0
296,FeI,5661.35,4.28,0.0
297,FeI,5662.52,4.18,0.0
298,FeI,5667.52,4.18,0.0
299,FeI,5679.02,4.65,0.0
300,FeI,5686.53,4.55,0.0
301,FeI,5691.5,4.3,0.0
302,FeI,5696.09,4.55,0.0
303,FeI,5698.02,3.64,0.0
304,FeI,5701.54,2.56,0.0
305,FeI,5705.46,4.3,0.0
306,FeI,5731.76,4.26,0.0
307,FeI,5732.3,4.99,0.0
308,FeI,5741.85,4.26,0.0
309,FeI,5742.96,4.18,0.0
310,FeI,5753.12,4.26,0.0
311,FeI,5760.34,3.64,0.0
312,FeI,5775.08,4.22,0.0
313,FeI,5778.45,2.59,0.0
314,FeI,5784.66,3.4,0.0
315,FeI,5816.37,4.55,0.0
316,FeI,5835.1,4.26,0.0
317,FeI,5837.7,4.29,0.0
318,FeI,5838.37,3.94,0.0
319,FeI,5849.68,3.69,0.0
320,FeI,5853.15,1.49,0.0
321,FeI,5855.08,4.61,0.0
322,FeI,5858.78,4.22,0.0
323,FeI,5883.82,3.96,0.0
324,FeI,5902.47,4.59,0.0
325,FeI,5905.67,4.65,0.0
326,FeI,5916.25,2.45,0.0
327,FeI,5927.79,4.65,0.0
328,FeI,5929.68,4.55,0.0
329,FeI,5930.18,4.65,0.0
330,FeI,5934.65,3.93,0.0
331,FeI,5940.99,4.18,0.0
332,FeI,5956.69,0.86,0.0
333,FeI,6003.01,3.88,0.0
334,FeI,6008.56,3.88,0.0
335,FeI,6012.21,2.22,0.0
336,FeI,6024.06,4.55,0.0
337,FeI,6027.05,4.08,0.0
338,FeI,6056.0,4.73,0.0
339,FeI,6065.48,2.61,0.0
340,FeI,6079.01,4.65,0.0
341,FeI,6082.71,2.22,0.0
342,FeI,6093.64,4.61,0.0
343,FeI,6094.37,4.65,0.0
344,FeI,6096.66,3.98,0.0
345,FeI,6120.25,0.91,0.0
346,FeI,6127.91,4.14,0.0
347,FeI,6136.61,2.45,0.0
348,FeI,6136.99,2.2,0.0
349,FeI,6137.69,2.59,0.0
350,FeI,6151.62,2.18,0.0
351,FeI,6165.36,4.14,0.0
352,FeI,6173.33,2.22,0.0
353,FeI,6187.99,3.94,0.0
354,FeI,6191.56,2.43,0.0
355,FeI,6200.31,2.61,0.0
356,FeI,6213.43,2.22,0.0
357,FeI,6219.28,2.2,0.0
358,FeI,6226.73,3.88,0.0
359,FeI,6229.23,2.85,0.0
360,FeI,6230.72,2.56,0.0
361,FeI,6232.64,3.65,0.0
362,FeI,6240.65,2.22,0.0
363,FeI,6246.32,3.6,0.0
364,FeI,6252.56,2.4,0.0
365,FeI,6265.13,2.18,0.0
366,FeI,6270.22,2.86,0.0
367,FeI,6271.28,3.33,0.0
368,FeI,6297.79,2.22,0.0
369,FeI,6301.5,3.65,0.0
370,FeI,6315.81,4.08,0.0
371,FeI,6322.69,2.59,0.0
372,FeI,6330.85,4.73,0.0
373,FeI,6335.33,2.2,0.0
374,FeI,6336.82,3.69,0.0
375,FeI,6338.88,4.8,0.0
376,FeI,6344.15,2.43,0.0
377,FeI,6355.03,2.84,0.0
378,FeI,6364.36,4.8,0.0
379,FeI,6380.74,4.19,0.0
380,FeI,6393.6,2.43,0.0
381,FeI,6400.32,0.91,0.0
382,FeI,6408.02,3.69,0.0
383,FeI,6411.65,3.65,0.0
384,FeI,6421.35,2.28,0.0
385,FeI,6430.85,2.18,0.0
386,FeI,6475.62,2.56,0.0
387,FeI,6481.87,2.28,0.0
388,FeI,6494.98,2.4,0.0
389,FeI,6496.47,4.8,0.0
390,FeI,6498.94,0.96,0.0
391,FeI,6518.37,2.83,0.0
392,FeI,6533.93,4.56,0.0
393,FeI,6546.24,2.76,0.0
394,FeI,6569.21,4.73,0.0
395,FeI,6574.23,0.99,0.0
396,FeI,6592.91,2.73,0.0
397,FeI,6593.87,2.43,0.0
398,FeI,6597.56,4.8,0.0
399,FeI,6609.11,2.56,0.0
400,FeI,6627.54,4.55,0.0
401,FeI,6648.08,1.01,0.0
402,FeI,6677.99,2.69,0.0
403,FeI,6699.14,4.59,0.0
404,FeI,6703.57,2.76,0.0
405,FeI,6713.74,4.8,0.0
406,FeI,6733.15,4.64,0.0
407,FeI,6739.52,1.56,0.0
408,FeI,6750.15,2.42,0.0
409,FeI,6752.71,4.64,0.0
410,FeI,6786.86,4.19,0.0
411,FeI,6804.27,4.58,0.0
412,FeI,6806.84,2.73,0.0
413,FeI,6810.26,4.61,0.0
414,FeI,6820.37,4.64,0.0
415,FeI,6843.66,4.55,0.0
416,FeI,6855.16,4.56,0.0
417,FeI,6858.15,4.61,0.0
418,FeI,6978.85,2.48,0.0
419,FeI,7495.07,4.22,0.0
420,FeI,7511.02,4.18,0.0
421,FeI,7568.9,4.28,0.0
422,FeI,8220.38,4.32,0.0
423,FeII,4173.45,2.58,0.0
424,FeII,4178.86,2.58,0.0
425,FeII,4233.16,2.58,0.0
426,FeII,4303.17,2.7,0.0
427,FeII,4385.38,2.78,0.0
428,FeII,4416.82,2.78,0.0
429,FeII,4491.4,2.86,0.0
430,FeII,4508.28,2.86,0.0
431,FeII,4515.34,2.84,0.0
432,FeII,4522.63,2.84,0.0
433,FeII,4549.47,2.83,0.0
434,FeII,4555.89,2.83,0.0
435,FeII,4576.33,2.84,0.0
436,FeII,4583.83,2.81,0.0
437,FeII,4620.51,2.83,0.0
438,FeII,4923.93,2.89,0.0
439,FeII,4993.35,2.81,0.0
440,FeII,5197.57,3.23,0.0
441,FeII,5234.63,3.22,0.0
442,FeII,5256.93,2.89,0.0
443,FeII,5264.8,3.23,0.0
444,FeII,5276.0,3.2,0.0
445,FeII,5316.61,3.15,0.0
446,FeII,5316.78,3.22,0.0
447,FeII,5325.55,3.22,0.0
448,FeII,5414.07,3.22,0.0
449,FeII,5425.25,3.2,0.0
450,FeII,5534.84,3.25,0.0
451,FeII,5991.37,3.15,0.0
452,FeII,6084.1,3.2,0.0
453,FeII,6113.32,3.22,0.0
454,FeII,6149.24,3.89,0.0
455,FeII,6247.56,3.89,0.0
456,FeII,6369.46,2.89,0.0
457,FeII,6432.68,2.89,0.0
458,FeII,6456.38,3.9,0.0
